,Title,Company,Location,Experience,Description
0,DATA ENGINEER – (DX),STAR SERVICES LLC,Abu Dhabi - United Arab Emirates (UAE),10 - 11 Years,"Assist in digital transformation, develop data engineering solutions, manage data pipelines, ensure data quality, and support enterprise data governance."
1,Data Engineer,Trigyn Technologies ltd,Beirut - Lebanon,5 - 10 Years,"The Data Engineer will design ETL pipelines, automate data ingestion, ensure data quality, and collaborate with teams while possessing strong analytical skills and cloud expertise."
2,Applied AI & Data Engineer,Morgan's Holding Global LLC,"Chandigarh , Chennai , Bangalore - India",5 - 10 Years,"Build AI assistants, design evaluation sets, improve data quality, and develop data pipelines while collaborating with developers using strong Python and cloud skills."
3,FinTech Data Engineer,Acesoft Labs (India) Pvt Ltd,Dubai - United Arab Emirates (UAE),4 - 8 Years,"Develop scalable data pipelines for financial data, ensuring data quality and governance using Python, SQL, and ETL tools."
4,Data Engineer,Acesoft Labs (India) Pvt Ltd,Dubai - United Arab Emirates (UAE),4 - 9 Years,"Seeking a Data Engineer skilled in PySpark, SQL, and Databricks to develop scalable data pipelines and optimize data processing solutions."
5,Data Engineer,Dicetek LLC,Abu Dhabi - United Arab Emirates (UAE),5 - 8 Years,"Develop scalable ETL/ELT pipelines and data integration solutions using cloud technologies, supporting AI/ML workloads and ensuring data quality."
6,Senior Data Engineer (Arabic Speaker),Dicetek LLC,Dubai - United Arab Emirates (UAE),10 - 15 Years,"Design and maintain data pipelines, optimize ETL processes, and implement data warehousing solutions; requires expertise in data transformation, orchestration, and NoSQL databases."
7,Data Engineer/Test,Confidential Company,Abu Dhabi - United Arab Emirates (UAE),5 - 10 Years,"Design and maintain data pipelines, implement automated testing for data quality, and optimize data warehouse performance; requires proficiency in SQL and programming skills."
8,Data Engineer,Confidential Company,"Wakra , Doha - Qatar",5 - 10 Years,"Design, develop, and maintain data ingestion, transformation, and orchestration pipelines using Microsoft Fabric and Azure Data Factory (ADF). Build and manage ETL/ELT processes..."
9,AWS Data Engineer,Client of Salt,Abu Dhabi - United Arab Emirates,5 - 10 Years,"Build and maintain scalable AWS ingestion pipelines using Glue, PySpark, and S3 while ensuring data quality and compliance with architecture standards."
10,Senior Consultant - Data Engineering,MAIR GROUP - P.J.S.C,Abu Dhabi - United Arab Emirates (UAE),5 - 10 Years,"Design and implement scalable data platforms on Snowflake for retail analytics Build and optimize ELT pipelines for retail data (POS, e-commerce, CRM, inventory, supply chain) L..."
11,"Manager - Model Implementation, Data Engineering and IFRS9 Risk Data",Nair Systems LLC,"Abu Dhabi , Dubai , Al Ain - United Arab Emirates (UAE)",6 - 12 Years,"Lead the design and implementation of ETL pipelines and credit risk data management for IFRS9 compliance, utilizing SQL and Python in a banking environment."
12,Data Engineer,Al Gurg Group,Dubai - United Arab Emirates (UAE),5 - 8 Years,"The role involves preparing enterprise data for AI use cases, ensuring data quality, governance, and collaboration with engineering teams on data pipelines."
13,Snowflake Data Engineer,Applycup Solutions (Client Confidential),Dubai - United Arab Emirates (UAE),8 - 15 Years,"Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. D..."
14,Snowflake Data Engineer,Applycup Solutions (Client Confidential),Dubai - United Arab Emirates (UAE),8 - 15 Years,"Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. D..."
15,Data Engineer,Dicetek LLC,Dubai - United Arab Emirates (UAE),4 - 8 Years,"Design and implement data pipelines, optimize ETL processes, ensure data quality, and collaborate with teams using SQL and cloud technologies."
16,Senior Data Engineer,Capco,United Arab Emirates - United Arab Emirates,7 - 12 Years,"Build robust, enterprise-scale data solutions at the heart of a major financial services transformation. The Role We are looking for an experienced Snowflake Data Engineer to pr..."
17,Senior Data Engineer (Investment Data),Luxoft,Abu Dhabi - United Arab Emirates,5 - 10 Years,"Seeking a Data Engineer to design and optimize data pipelines using PySpark and Databricks, with strong data governance and production experience."
18,Data Engineer,STMicroelectronics,Agadir - Morocco,0 - 5 Years,"Data engineers collect, transform, and store data using pipelines, ensuring data quality for analysts and scientists, focusing on Big Data and IoT platforms."
19,Senior Data Engineer,Iitjobs Inc.,Muscat - Oman,7 - 12 Years,"Seeking a skilled professional with expertise in SQL Server Integration Services, ETL development, and data migration to drive innovation and business growth."
